   id_venta  cantidad  precio_unitario  importe
0         1         2              100      200
1         1         1              150      150
2         2         3              200      600
3         2         2              100      200
4         3         1              250      250
5         3         4              150      600
6         4         2              300      600
7         4         3              200      600
8         5         1              100      100
9         5         2              150      300
